IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
18,5,5,1,1,3,1,0,0,1,2,1,4,8,5,1,221.33,235.65
18,1,1,1,0,3,1,0,0,1,2,2,1,18,9,1,283.06,289.9
17,5,5,1,0,3,3,0,0,2,2,2,4,18,10,1,296.89,328.26
17,4,5,0,1,3,1,0,0,1,2,2,1,8,5,1,216.42,248.21
17,4,1,1,1,3,1,0,0,2,3,1,4,20,18,1,324.59,375.98
18,1,1,0,0,3,1,0,0,2,2,2,2,20,4,1,301.55,274.83
18,5,2,1,1,5,1,0,0,2,2,1,2,11,3,1,226.31,244.64
17,5,6,1,2,3,2,0,0,2,1,2,2,16,10,1,278.8,325.54
18,5,5,1,2,5,2,1,0,2,2,2,2,11,7,1,239,240.08
17,5,6,1,1,3,1,0,0,2,2,1,4,24,9,1,367.7,309.44
17,6,5,1,1,3,1,0,0,3,3,3,2,9,6,1,230.62,297.35
17,5,6,0,0,3,3,0,1,3,3,1,2,7,4,1,213.85,282.06
18,1,4,1,1,3,1,0,0,3,2,1,1,12,6,1,250.12,242.81
17,5,5,1,0,3,2,0,0,2,2,2,2,17,8,1,295.74,285.1
17,4,3,1,1,5,1,0,0,3,3,3,2,18,13,1,313.79,348.3
18,5,4,1,1,3,1,0,0,2,2,0,3,11,5,1,255.02,230.26
17,4,5,1,1,5,1,0,0,3,3,2,3,5,4,1,176.12,206.29
18,5,5,0,0,5,1,0,0,2,2,2,1,17,7,1,296.47,303.25
17,4,1,1,0,5,1,0,0,2,3,2,2,11,6,1,248.13,274.41
17,3,5,1,1,3,1,0,0,3,2,1,1,10,6,1,235.07,257.04
17,5,5,1,1,5,1,0,0,2,2,2,2,7,8,1,206.42,278.03
17,4,4,1,0,5,1,0,0,3,3,2,4,21,5,1,309.76,256.93
18,4,3,0,0,3,1,0,0,3,3,2,2,8,3,1,221.38,194.43
17,4,5,1,0,3,3,0,0,3,3,2,3,5,4,1,172.54,234.51
18,1,5,1,2,5,1,0,1,0,0,0,1,8,6,1,227.9,230.15
17,5,5,1,0,3,1,0,0,2,2,1,2,7,5,1,202.2,243.3
